"part","uk_qty","de_qty"
"10-000010","0","0"
"10-000020","0","0"
"10-000030","4","4"
"10-000040","0","0"
"10-010010","0","0"
"10-010020","0","0"
"10-010030","0","0"
"10-010040","0","0"
"10-010050","0","0"
"10-010060","0","0"
"10-010070","0","0"
"10-010080","0","0"
"10-010090","0","0"
"10-010100","0","0"
"10-010110","0","0"
"10-010120","0","0"
"10-010130","0","0"
"10-010140","0","0"
"10-010150","0","0"
"10-010160","0","0"
"10-010170","0","0"
"10-010180","0","0"
"10-010190","0","0"
"10-010200","0","0"
"10-010210","0","0"
"10-040010","5","5"
"10-040020","0","0"
"10-040030","0","0"
"10-040040","0","0"
"10-040050","0","0"
"10-040060","0","0"
"10-050010","1","1"
"10-050020","1","1"
"10-060010","5","5"
"10-060020","5","5"
"10-060030","1","1"
"10-060040","3","3"
"10-060050","2","2"
"10-060060","0","0"
"10-060070","2","2"
"10-060080","0","0"
"10-060090","0","0"
"10-060100","0","0"
"10-060110","0","0"
"10-060120","0","0"
"10-060130","0","0"
"10-060140","3","3"
"10-060150","2","2"
"10-060160","2","2"
"10-060170","0","0"
"10-060180","0","0"
"10-070010","0","0"
"10-070020","0","0"
"10-080010","0","0"
"10-080020","0","0"
"10-080030","0","0"
"10-080040","0","0"
"10-080050","0","0"
"10-080060","0","0"
"10-080070","0","0"
"10-080080","0","0"
"10-080090","0","0"
"10-080100","0","0"
"10-080110","0","0"
"10-080120","0","0"
"10-080130","0","0"
"10-080140","0","0"
"10-080150","0","0"
"10-080160","0","0"
"10-080170","2","2"
"10-080180","0","0"
"10-080190","0","0"
"10-080200","0","0"
"10-080210","0","0"
"10-080220","0","0"
"10-080230","0","0"
"10-080240","0","0"
"10-080250","0","0"
"10-080260","0","0"
"10-080270","0","0"
"10-080280","0","0"
"10-080290","0","0"
"10-080300","0","0"
"10-080310","2","2"
"10-080320","0","0"
"10-080330","0","0"
"10-080340","0","0"
"10-080350","0","0"
"10-080360","0","0"
"10-080370","0","0"
"10-080380","0","0"
"10-080390","0","0"
"10-080400","0","0"
"10-080600","0","0"
"10-080610","5","5"
"10-080620","0","0"
"10-080630","0","0"
"10-080640","4","4"
"10-080650","0","0"
"10-080660","0","0"
"10-080670","0","0"
"10-080680","0","0"
